Confidence Level,Date,Time,Locale,Governorate,Theater,Lat,Lon,Offensive,Delivery,Munition Type,Barrel Bomb Version,Munition Imagery,Chemical Agent,Killed,Injured,Perpetrator,SA,SA 2,JIM,COI,OPCW,SAMS,WHMD,SNHR,LCC,VDC,CAR,Trusted Source,Bellingcat
3,2012-12-23,19:00:00,Bayada,Homs,Homs,34.751167,36.728527,NA,NA,NA,NA,No,BZ,7,60,Syrian Government,NA,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49574#.XmJoVUBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49583#.XmJoZUBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49608#.XmJoc0BFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49610#.XmJohkBFzVh; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49612#.XmJolEBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49611#.XmJorkBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/49613#.XmJov0BFzVg,NA,NA,NA
2,2012-12-25,NA,Az Za'faranah,Homs,Homs,34.895278,36.778056,NA,NA,NA,NA,No,NA,0,35,Syrian Government,NA,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,NA,NA,NA,NA
3,2013-03-19,11:00:00,'Utaybah,Reef Damascus,Wider Damascus,33.485091,36.607821,Damascus Offensive,Ground,"""Missile""",NA,No,Sarin,6,60,Syrian Government,OTA190313,NA,NA,https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/70150#.XmJn0kBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/70151#.XmJn4EBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/70152#.XmJn8EBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/70414#.XmJn_0BFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/70415#.XmJoEEBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/70417#.XmJoOkBFzVg,NA,NA,NA
3,2013-03-19,03:45:00,Khan Alassal,Aleppo,Aleppo,36.16972222,37.04444444,NA,Air,"""Rocket""",NA,No,Sarin,26,250,Syrian Government,KAS190313,NA,NA,https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,https://web.archive.org/web/20200306154228/http://www.vdc-sy.info/index.php/en/martyrs/13/c29ydGJ5PWEua2lsbGVkX2RhdGV8c29ydGRpcj1ERVNDfGFwcHJvdmVkPXZpc2libGV8ZXh0cmFkaXNwbGF5PTB8Y29kTXVsdGk9MTV8,NA,NA,https://www.bellingcat.com/news/mena/2017/09/06/history-sarin-use-syrian-conflict/
3,2013-03-24,21:00:00,'Adra,Reef Damascus,Wider Damascus,33.600000,36.515000,Damascus Offensive,Ground,"""Missile""",NA,No,NA,2,40,Syrian Government,NA,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/71427#.XmJno0BFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/71428#.XmJns0BFzVg,NA,NA,NA
1,2013-04-04,NA,Jobar,Damascus,Wider Damascus,33.528100,36.329471,Damascus Offensive,NA,NA,NA,No,NA,0,7,Syrian Government,NA,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,NA,NA,NA,NA,NA,NA
1,2013-04-06,NA,Jobar,Damascus,Wider Damascus,33.528100,36.329471,Damascus Offensive,NA,NA,NA,No,NA,0,22,Syrian Government,NA,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,NA,NA,NA,NA,NA,NA
2,2013-04-07,NA,Jobar,Damascus,Wider Damascus,33.528100,36.329471,Damascus Offensive,NA,"""Grenade""",NA,No,NA,0,7,Syrian Government,NA,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,NA,NA,NA,NA
2,2013-04-09,04:00:00,'Utaybah,Reef Damascus,Wider Damascus,33.485091,36.607821,Damascus Offensive,NA,"""Missile""",NA,No,NA,0,20,Syrian Government,OTA090413,NA,NA,NA,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,NA,NA,NA,NA
3,2013-04-13,NA,Sheikh Maqsood,Aleppo,Aleppo,36.237072,37.150655,NA,Air,Sarin Grenade,NA,No,Sarin,14,18,Syrian Government,SHE130413,NA,NA,https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,https://web.archive.org/web/20200317102619/https://www.sams-usa.net/wp-content/uploads/2016/09/A-New-Normal_Ongoing-Chemical-Weapons-Attacks-in-Syria.compressed.pdf,NA,Closed,NA,https://web.archive.org/web/20200306154228/http://www.vdc-sy.info/index.php/en/martyrs/13/c29ydGJ5PWEua2lsbGVkX2RhdGV8c29ydGRpcj1ERVNDfGFwcHJvdmVkPXZpc2libGV8ZXh0cmFkaXNwbGF5PTB8Y29kTXVsdGk9MTV8,NA,NA,https://www.bellingcat.com/news/mena/2018/06/14/chemical-munitions-used-syrian-government-2012-2018/
